paper_reference,paper_year,power_watts,time_minutes,temperature_celsius,antenna_type_raw,antenna_category,data_source,length_mm,width_mm,diameter_mm,depth_mm,volume_mm3,aspect_ratio,energy_joules,power_time_product,log_power,log_time,log_energy,sqrt_time,effective_diameter_mm,estimated_volume_mm3,sphericity_index,has_temperature
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,100.0,8.0,,Other,Other,Simulated,24.5,20.0,,,,,48000.0,800.0,4.61512051684126,2.1972245773362196,10.778977123006351,2.8284271247461903,20.0,5131.268000863329,0.8163265306122449,0
Antenna design and tissue parameters considerations for an improved modelling of microwave ablation ,2013,100.0,10.0,,Other,Other,Simulated,24.5,20.0,,,,,60000.0,1000.0,4.61512051684126,2.3978952727983707,11.002116507732017,3.1622776601683795,20.0,5131.268000863329,0.8163265306122449,0
Optimization of dual slot antenna using floating metallic sleeve,2014,120.0,3.0,,Dual Slot,Dual Slot,Simulated,42.26,16.98,,,,,21600.0,360.0,4.795790545596741,1.3862943611198906,9.980494888896912,1.7320508075688772,16.98,6379.747447829697,0.4017983909133933,0
A Directional Interstitial Antenna for Microwave Tissue Ablation: Theoretical and Experimental Inves,2015,50.0,10.0,,Other,Other,Simulated,,30.5,26.0,,,,30000.0,500.0,3.9318256327243257,2.3978952727983707,10.308985993422082,3.1622776601683795,26.0,,,0
A Directional Interstitial Antenna for Microwave Tissue Ablation: Theoretical and Experimental Inves,2015,80.0,10.0,,Other,Other,Simulated,,46.5,34.5,,,,48000.0,800.0,4.394449154672439,2.3978952727983707,10.778977123006351,3.1622776601683795,34.5,,,0
Microwave ablation at 915 MHz vs 2.45 GHz: A theoretical,2015,30.0,5.0,,Other,Other,Simulated,58.8,,28.1,,,,9000.0,150.0,3.4339872044851463,1.791759469228055,9.105090961257085,2.23606797749979,28.1,24310.203156970158,0.47789115646258506,0
Microwave ablation at 915 MHz vs 2.45 GHz: A theoretical,2015,30.0,10.0,,Other,Other,Simulated,75.1,,36.0,,,,18000.0,300.0,3.4339872044851463,2.3978952727983707,9.798182590890704,3.1622776601683795,36.0,50961.65938947218,0.4793608521970706,0
Analysis of minimally invasive directional antennas for microwave tissue ablation- 2016,2016,77.0,10.0,92.5,Other,Other,Simulated,44.3,45.0,,,,,46200.0,770.0,4.356708826689592,2.3978952727983707,10.740756721857226,3.1622776601683795,45.0,46970.73716198438,1.0,1
Experimental measurement of microwave ablation heating pattern and comparison to computer simulation,2016,15.0,6.0,100.0,Other,Other,Simulated,21.0,12.8,,,,,5400.0,90.0,2.772588722239781,1.9459101490553132,8.594339400592892,2.449489742783178,12.8,1801.5148912745312,0.6095238095238096,1
The impact of frequency on the performance of,2016,25.0,5.0,100.0,Other,Other,Simulated,,,37.0,,,,7500.0,125.0,3.258096538021482,1.791759469228055,8.922791623969637,2.23606797749979,37.0,,,1
A Hybrid Slot/Monopole Antenna With Directional Heating Patterns for Microwave Ablation- 2017,2017,20.0,5.0,,Monopole,Monopole,Simulated,16.0,16.0,,,,,6000.0,100.0,3.044522437723423,1.791759469228055,8.699681400989514,2.23606797749979,16.0,2144.660584850632,1.0,0
